# a, b, af, bf, alfa1, beta1, alfa2, beta2, vol, fibstretch 
  1.33036238e+02,  4.56330178e+00,  1.07369470e+02,  9.49266300e+00,  3.08290955e-01,  4.71422705e+00,  5.40756546e-03,  3.65327916e+01,  1.28181821e+02,  1.18510872e+00
  1.32458095e+02,  5.91395630e+00,  8.39215378e+01,  1.51881519e+01,  6.51750829e-01,  5.09310534e+00,  3.92945087e-03,  4.38670016e+01,  1.15222892e+02,  1.16034209e+00
  1.66163288e+02,  6.02203813e+00,  1.04178436e+02,  1.22125749e+01,  8.32074412e-01,  4.77009312e+00,  5.93882997e-03,  4.22139725e+01,  1.13104464e+02,  1.15579152e+00
  1.53588248e+02,  5.61199897e+00,  9.41458897e+01,  1.28912165e+01,  6.42518540e-01,  4.82429878e+00,  5.32419638e-03,  4.12723025e+01,  1.16413673e+02,  1.16266514e+00
  1.52075275e+02,  6.09158311e+00,  1.51300030e+02,  1.38211283e+01,  8.63173524e-01,  4.83375948e+00,  5.57718273e-03,  4.33833733e+01,  1.12425171e+02,  1.15293054e+00
  1.88452365e+02,  6.20318274e+00,  1.48607620e+02,  1.36901275e+01,  1.09898994e+00,  4.61684094e+00,  7.13047583e-03,  4.29410917e+01,  1.09864459e+02,  1.14803235e+00
  1.79722884e+02,  7.27708753e+00,  1.19320093e+02,  9.06822760e+00,  1.41714523e+00,  4.80989724e+00,  5.96010219e-03,  4.63082173e+01,  1.06356399e+02,  1.14103952e+00
  1.65373003e+02,  4.92326817e+00,  1.34772559e+02,  9.73330323e+00,  4.98936173e-01,  4.50976036e+00,  7.20352358e-03,  3.73113087e+01,  1.21690456e+02,  1.17187913e+00
  1.61891063e+02,  7.19222962e+00,  1.21510845e+02,  1.49048915e+01,  1.39080788e+00,  4.97240528e+00,  5.19733846e-03,  4.71828966e+01,  1.06334693e+02,  1.14152763e+00
  1.84492346e+02,  4.57883653e+00,  1.39386390e+02,  1.51341528e+01,  5.57540367e-01,  4.43855489e+00,  6.68626463e-03,  3.88416689e+01,  1.20306503e+02,  1.16665222e+00
  1.56142936e+02,  5.94760781e+00,  1.19144869e+02,  9.67965470e+00,  7.28754796e-01,  4.76440815e+00,  5.92422655e-03,  4.14582466e+01,  1.14914735e+02,  1.15894137e+00
  1.47455492e+02,  5.62064941e+00,  1.39086933e+02,  9.58679565e+00,  6.07543815e-01,  4.74129922e+00,  5.98666432e-03,  4.02455860e+01,  1.17550099e+02,  1.16378721e+00
  1.47867964e+02,  5.74059162e+00,  1.38719523e+02,  1.35963177e+01,  7.10124378e-01,  4.82747597e+00,  5.37902218e-03,  4.22577245e+01,  1.15030843e+02,  1.15828884e+00
  1.20168946e+02,  6.55430516e+00,  1.50516651e+02,  1.27601754e+01,  8.09681591e-01,  5.13869327e+00,  4.28687438e-03,  4.51914889e+01,  1.12366655e+02,  1.15311720e+00
  1.12039309e+02,  5.63742416e+00,  1.03444756e+02,  8.33218052e+00,  4.16871508e-01,  5.06821791e+00,  4.17985991e-03,  4.06679502e+01,  1.21365585e+02,  1.17230518e+00
  1.20251227e+02,  5.20247577e+00,  8.37712764e+01,  8.52241141e+00,  3.53529161e-01,  4.95489663e+00,  4.50133499e-03,  3.88372159e+01,  1.24400152e+02,  1.17885944e+00
  1.81684217e+02,  5.23765835e+00,  1.40905965e+02,  1.51417969e+01,  7.34530157e-01,  4.55039664e+00,  6.69179933e-03,  4.06758579e+01,  1.15602760e+02,  1.15861827e+00
  1.63401433e+02,  4.97944762e+00,  1.44112872e+02,  1.43365160e+01,  5.79279571e-01,  4.61026085e+00,  6.03631079e-03,  3.99888632e+01,  1.18837111e+02,  1.16454242e+00
  1.75398346e+02,  7.73944604e+00,  1.27440908e+02,  1.37500147e+01,  1.78927241e+00,  4.93140841e+00,  5.60278147e-03,  4.85162619e+01,  1.03572593e+02,  1.13563512e+00
  1.18745789e+02,  4.99042355e+00,  8.43208426e+01,  1.20629723e+01,  3.44704575e-01,  5.01486248e+00,  3.89815084e-03,  3.97783210e+01,  1.24408249e+02,  1.17844401e+00
  1.63007233e+02,  7.21423174e+00,  9.68229177e+01,  8.28788261e+00,  1.22456588e+00,  4.93619267e+00,  5.14120163e-03,  4.63669435e+01,  1.07874124e+02,  1.14450055e+00
  1.79448961e+02,  7.64232413e+00,  1.43976320e+02,  1.14754902e+01,  1.71586480e+00,  4.85016923e+00,  6.01828177e-03,  4.77258796e+01,  1.04107694e+02,  1.13633247e+00
  1.44262375e+02,  5.80927438e+00,  9.49282964e+01,  1.09690281e+01,  6.28616594e-01,  4.88846174e+00,  5.13615126e-03,  4.14697196e+01,  1.16464593e+02,  1.16288047e+00
  1.40639415e+02,  6.22924282e+00,  1.25863276e+02,  1.19034001e+01,  7.84451443e-01,  4.94684610e+00,  5.03479864e-03,  4.33693672e+01,  1.13323779e+02,  1.15574591e+00
  1.48946774e+02,  4.24644699e+00,  1.48346937e+02,  9.98438846e+00,  3.26519611e-01,  4.48803230e+00,  6.68046416e-03,  3.53734125e+01,  1.28953732e+02,  1.18455185e+00
  1.62694161e+02,  7.78472110e+00,  8.47171525e+01,  1.48332114e+01,  1.66755811e+00,  5.09778926e+00,  4.69948321e-03,  4.91281453e+01,  1.04191467e+02,  1.13790332e+00
  1.61691906e+02,  4.89039047e+00,  1.21180719e+02,  1.42021515e+01,  5.29094442e-01,  4.63945404e+00,  5.71051601e-03,  3.96462078e+01,  1.20057681e+02,  1.16770967e+00
  1.44728727e+02,  4.35235197e+00,  1.11821270e+02,  1.35739307e+01,  3.47881179e-01,  4.68158222e+00,  4.77149014e-03,  3.83815896e+01,  1.26409161e+02,  1.17914157e+00
  1.76885632e+02,  4.36068980e+00,  1.25556673e+02,  1.50304573e+01,  4.69189175e-01,  4.47064545e+00,  6.03177781e-03,  3.84622978e+01,  1.22901071e+02,  1.17153250e+00
  1.08973380e+02,  4.77601986e+00,  1.30125823e+02,  1.23570423e+01,  3.11053969e-01,  4.99339780e+00,  3.81172611e-03,  3.98643666e+01,  1.26087354e+02,  1.17863797e+00
  1.93501424e+02,  7.15850188e+00,  1.43501845e+02,  1.27363924e+01,  1.57228188e+00,  4.71388102e+00,  6.82097734e-03,  4.59695367e+01,  1.05257343e+02,  1.13877272e+00
  1.17927817e+02,  4.53422810e+00,  1.25128256e+02,  1.47779753e+01,  3.21335369e-01,  4.93803621e+00,  3.40495625e-03,  4.10571543e+01,  1.25939607e+02,  1.17615369e+00
  1.82641442e+02,  4.51016179e+00,  1.45670669e+02,  8.36587847e+00,  4.47902659e-01,  4.28555071e+00,  8.89801137e-03,  3.48675876e+01,  1.24942568e+02,  1.17780881e+00
  1.17450833e+02,  7.41231869e+00,  8.45560984e+01,  1.41871245e+01,  1.06305743e+00,  5.41717212e+00,  3.29004971e-03,  4.87444781e+01,  1.08612929e+02,  1.14742718e+00
  1.42793630e+02,  6.78946921e+00,  9.39371665e+01,  1.15239058e+01,  9.57641759e-01,  5.05850401e+00,  4.60348410e-03,  4.53130737e+01,  1.10544402e+02,  1.15088488e+00
  1.37328767e+02,  7.29295170e+00,  1.26141106e+02,  1.21699831e+01,  1.18557739e+00,  5.12990539e+00,  4.47134557e-03,  4.73068128e+01,  1.07904712e+02,  1.14479053e+00
  1.40293500e+02,  7.78290660e+00,  1.25848120e+02,  8.42572737e+00,  1.36187526e+00,  5.14559796e+00,  4.37965387e-03,  4.86012583e+01,  1.06334830e+02,  1.14117501e+00
  1.69542093e+02,  6.67381513e+00,  1.10460479e+02,  1.41336040e+01,  1.15847742e+00,  4.85822311e+00,  5.65746859e-03,  4.50325689e+01,  1.08676289e+02,  1.14659793e+00
  1.87486544e+02,  5.52641829e+00,  1.37441654e+02,  9.34488763e+00,  7.44086732e-01,  4.46693024e+00,  7.92124085e-03,  3.92202851e+01,  1.15763360e+02,  1.16008462e+00
  1.33873137e+02,  4.85754078e+00,  1.36088713e+02,  1.20580195e+01,  4.09080308e-01,  4.77207473e+00,  5.11567352e-03,  3.90390484e+01,  1.23257614e+02,  1.17387674e+00
