# q1, q2, q3, alfa1, beta1, alfa2, beta2, vol, fibstretch 
  1.19218513e+00,  8.34960152e-01,  8.75295822e-01,  1.34903703e+00,  4.83859413e+00,  5.80568758e-03,  4.59946522e+01,  1.06893788e+02,  1.14271680e+00
  7.70488372e-01,  1.29309457e+00,  1.00589047e+00,  3.15292885e-01,  4.86078684e+00,  4.41968230e-03,  3.88629089e+01,  1.26758526e+02,  1.17912985e+00
  1.12131294e+00,  8.83053913e-01,  1.03156398e+00,  1.12147158e+00,  4.86018607e+00,  5.66597554e-03,  4.47595694e+01,  1.09070299e+02,  1.14753804e+00
  1.07145666e+00,  7.02889791e-01,  1.19550362e+00,  9.61453448e-01,  4.93056734e+00,  5.12700273e-03,  4.42946040e+01,  1.10800889e+02,  1.15177220e+00
  9.53066272e-01,  9.89045294e-01,  8.17259393e-01,  5.97059841e-01,  4.82728861e+00,  5.46040397e-03,  4.07711741e+01,  1.17428454e+02,  1.16414975e+00
  1.00112750e+00,  9.58881176e-01,  7.10270725e-01,  6.91893046e-01,  4.80750428e+00,  5.58106141e-03,  4.16187497e+01,  1.15468962e+02,  1.15996181e+00
  8.06657956e-01,  1.17615282e+00,  8.23776405e-01,  3.38107215e-01,  4.81972031e+00,  5.05500041e-03,  3.79408411e+01,  1.25937627e+02,  1.17976546e+00
  8.98720279e-01,  1.05449405e+00,  1.00440638e+00,  5.17107198e-01,  4.86730347e+00,  5.00893729e-03,  4.06029751e+01,  1.19278623e+02,  1.16730902e+00
  1.22770409e+00,  7.00736167e-01,  1.01192981e+00,  1.51824023e+00,  4.87374384e+00,  5.72950080e-03,  4.68662671e+01,  1.05470196e+02,  1.14020253e+00
  9.13828975e-01,  1.06038971e+00,  9.12078791e-01,  5.33746162e-01,  4.84163553e+00,  5.27375124e-03,  4.03662200e+01,  1.18948550e+02,  1.16690284e+00
  8.91689029e-01,  1.28777367e+00,  1.29190078e+00,  5.74847102e-01,  4.88985173e+00,  4.54094177e-03,  4.25641182e+01,  1.17678538e+02,  1.16161371e+00
  8.18818782e-01,  1.07406405e+00,  7.70032273e-01,  3.43058275e-01,  4.82112281e+00,  5.10559993e-03,  3.78511060e+01,  1.25701750e+02,  1.17994301e+00
